,TP9,AF7,AF8,TP10,Right AUX,timestamps
0,0.000,0.000,0.000,0.000,0.000,1731707843.139
1,0.000,0.000,0.000,0.000,0.000,1731707843.143
2,-32.227,-0.977,-0.977,-32.227,0.000,1731707843.147
3,70.312,0.977,1.953,70.312,0.000,1731707843.151
4,-396.484,-6.836,-10.254,-396.484,0.000,1731707843.155
5,-1000.000,-22.949,-23.438,-1000.000,0.000,1731707843.159
6,-992.188,-18.555,-14.160,-992.188,0.000,1731707843.162
7,-986.816,-12.695,-14.648,-986.816,0.000,1731707843.166
8,-1000.000,-25.879,-18.066,-1000.000,0.000,1731707843.170
9,-1000.000,-20.996,-18.066,-1000.000,0.000,1731707843.174
10,-1000.000,-6.836,-22.461,-1000.000,0.000,1731707843.178
11,-1000.000,-13.672,-26.367,-1000.000,0.000,1731707843.182
12,-1000.000,-10.742,-28.320,-1000.000,0.000,1731707843.184
13,-1000.000,-2.930,-30.273,-1000.000,0.000,1731707843.188
14,-1000.000,-4.883,-31.738,-1000.000,0.000,1731707843.192
15,-1000.000,-0.977,-29.785,-1000.000,0.000,1731707843.196
16,-1000.000,-7.812,-28.809,-1000.000,0.000,1731707843.199
17,-1000.000,-13.184,-30.762,-1000.000,0.000,1731707843.203
18,-1000.000,-1.953,-24.902,-1000.000,0.000,1731707843.207
19,-951.660,-19.043,-28.809,-1000.000,0.000,1731707843.211
20,-1000.000,-41.504,-35.156,-1000.000,0.000,1731707843.215
21,-887.695,-24.902,-34.668,-1000.000,0.000,1731707843.218
22,482.422,-9.766,-33.691,-1000.000,0.000,1731707843.222
23,-920.410,-8.301,-29.297,-1000.000,0.000,1731707843.226
24,905.273,-11.719,-30.762,-985.352,0.000,1731707843.227
25,979.492,-17.578,-31.738,-963.379,0.000,1731707843.230
26,970.215,-21.484,-26.855,-1000.000,0.000,1731707843.234
27,970.215,-7.812,-24.414,20.508,0.000,1731707843.238
28,970.215,0.977,-23.438,-914.062,0.000,1731707843.241
29,970.215,4.883,-21.973,926.270,0.000,1731707843.245
30,969.727,11.719,-21.484,959.961,0.000,1731707843.249
31,969.727,-8.789,-20.020,973.145,0.000,1731707843.252
32,969.727,-22.949,-21.484,970.703,0.000,1731707843.256
33,969.727,-19.531,-27.344,970.703,0.000,1731707843.260
34,969.727,-16.602,-28.320,970.215,0.000,1731707843.263
35,970.215,-9.277,-22.461,970.703,0.000,1731707843.267
36,969.727,-5.859,-18.555,970.703,0.000,1731707843.267
37,970.215,-9.277,-20.020,970.215,0.000,1731707843.270
38,970.215,-6.836,-22.949,970.703,0.000,1731707843.274
39,970.215,-6.836,-20.508,970.703,0.000,1731707843.277
40,970.215,-8.301,-20.508,970.215,0.000,1731707843.281
41,969.727,-3.906,-23.926,970.703,0.000,1731707843.284
42,970.215,-24.414,-31.250,970.703,0.000,1731707843.288
43,969.727,-40.527,-32.715,970.215,0.000,1731707843.291
44,969.727,-19.531,-25.879,970.703,0.000,1731707843.295
45,970.215,-17.578,-22.461,970.703,0.000,1731707843.298
46,970.215,-23.926,-23.438,970.703,0.000,1731707843.302
47,969.727,-18.066,-21.484,970.703,0.000,1731707843.305
48,970.215,-8.301,-19.043,970.703,0.000,1731707843.305
49,969.727,-9.277,-21.973,970.215,0.000,1731707843.309
50,969.727,-20.508,-28.320,970.215,0.000,1731707843.312
51,969.727,-18.066,-27.344,970.703,0.000,1731707843.316
52,969.727,-13.672,-22.949,970.703,0.000,1731707843.319
53,969.727,-11.230,-20.020,970.703,0.000,1731707843.323
54,969.727,-30.762,-20.996,970.215,0.000,1731707843.326
55,969.727,-35.645,-24.902,970.703,0.000,1731707843.330
56,970.215,-21.484,-25.879,970.703,0.000,1731707843.333
57,970.215,-30.273,-25.879,970.703,0.000,1731707843.337
58,969.727,-32.227,-26.367,970.703,0.000,1731707843.340
59,969.727,-30.762,-25.879,970.703,0.000,1731707843.343
60,969.727,-32.715,-25.879,970.703,0.000,1731707843.344
61,969.727,-30.762,-25.391,970.215,0.000,1731707843.348
62,969.727,-33.203,-25.391,970.703,0.000,1731707843.351
63,969.727,-38.086,-23.926,970.703,0.000,1731707843.354
