,TP9,AF7,AF8,TP10,Right AUX,timestamps
0,0.000,0.000,0.000,-0.488,0.000,1731708173.942
1,0.000,0.000,0.000,-0.488,0.000,1731708173.946
2,0.000,-0.977,-0.977,30.762,0.000,1731708173.950
3,0.000,0.977,1.465,-68.359,0.000,1731708173.954
4,0.000,-5.859,-9.277,384.277,0.000,1731708173.958
5,0.000,-19.043,-25.391,-994.629,0.000,1731708173.962
6,0.000,-19.043,-28.320,962.402,0.000,1731708173.965
7,0.000,-19.531,-29.297,957.031,0.000,1731708173.969
8,0.000,-30.762,-20.020,973.633,0.000,1731708173.973
9,0.000,-25.879,-16.602,970.703,0.000,1731708173.977
10,0.000,-15.137,-24.902,970.703,0.000,1731708173.981
11,0.000,-14.648,-26.855,970.703,0.000,1731708173.985
12,969.727,-13.672,-30.273,970.703,0.000,1731708173.988
13,969.727,-13.184,-44.434,970.703,0.000,1731708173.991
14,969.727,-9.766,-41.504,970.703,0.000,1731708173.995
15,970.215,-13.672,-34.180,970.703,0.000,1731708173.999
16,969.727,-17.090,-36.621,970.703,0.000,1731708174.003
17,969.727,-13.672,-34.180,970.703,0.000,1731708174.006
18,969.727,-5.371,-30.762,970.703,0.000,1731708174.010
19,970.215,-20.508,-34.180,970.703,0.000,1731708174.014
20,969.727,-38.574,-40.039,970.215,0.000,1731708174.018
21,969.727,-23.438,-30.762,970.215,0.000,1731708174.021
22,969.727,-13.184,-29.785,970.703,0.000,1731708174.025
23,970.215,-15.625,-33.203,970.215,0.000,1731708174.029
24,970.215,-21.973,-23.438,970.215,0.000,1731708174.030
25,969.727,-20.508,-28.320,970.703,0.000,1731708174.034
26,969.727,-16.602,-36.133,970.703,0.000,1731708174.037
27,970.215,-24.902,-31.738,970.703,0.000,1731708174.041
28,969.727,-30.273,-34.180,970.703,0.000,1731708174.044
29,969.727,-29.785,-28.809,970.703,0.000,1731708174.048
30,969.727,-32.227,-28.320,970.703,0.000,1731708174.052
31,970.215,-48.828,-40.527,970.703,0.000,1731708174.055
32,970.215,-55.664,-41.016,970.703,0.000,1731708174.059
33,969.727,-42.969,-35.645,970.215,0.000,1731708174.063
34,970.215,-34.180,-48.828,970.703,0.000,1731708174.066
35,970.215,-37.598,-46.387,970.703,0.000,1731708174.070
36,972.168,-43.945,-49.316,970.703,0.000,1731708174.070
37,905.273,-41.016,-54.688,970.703,0.000,1731708174.073
38,-890.625,-39.551,-48.340,970.215,0.000,1731708174.077
39,218.750,-44.434,-48.340,970.215,0.000,1731708174.080
40,-1000.000,-51.270,-47.363,970.703,0.000,1731708174.084
41,-988.770,-47.363,-48.828,970.703,0.000,1731708174.087
42,-970.703,-44.922,-41.504,974.609,0.000,1731708174.091
43,-1000.000,-50.293,-44.922,953.125,0.000,1731708174.094
44,-1000.000,-44.922,-53.223,944.824,0.000,1731708174.098
45,-1000.000,-41.016,-46.875,-978.516,0.000,1731708174.101
46,-1000.000,-45.410,-49.805,-73.242,0.000,1731708174.105
47,-1000.000,-49.316,-45.898,-1000.000,0.000,1731708174.109
48,-1000.000,-45.410,-43.945,-964.355,0.000,1731708174.108
49,-1000.000,-45.410,-49.805,-987.305,0.000,1731708174.112
50,-1000.000,-44.434,-50.781,-1000.000,0.000,1731708174.115
51,-1000.000,-39.551,-45.898,-1000.000,0.000,1731708174.119
52,-1000.000,-35.645,-42.969,-1000.000,0.000,1731708174.122
53,-1000.000,-30.273,-46.875,-1000.000,0.000,1731708174.126
54,-1000.000,-27.344,-53.223,-1000.000,0.000,1731708174.129
55,-1000.000,-31.738,-45.898,-1000.000,0.000,1731708174.132
56,-1000.000,-35.645,-35.156,-1000.000,0.000,1731708174.136
57,-1000.000,-37.598,-31.250,-1000.000,0.000,1731708174.139
58,-1000.000,-41.504,-41.016,-1000.000,0.000,1731708174.143
59,-1000.000,-37.109,-40.039,-1000.000,0.000,1731708174.146
60,0.000,-29.785,-33.203,-1000.000,0.000,1731708174.147
61,0.000,-31.250,-33.203,-1000.000,0.000,1731708174.150
62,0.000,-35.645,-31.738,-1000.000,0.000,1731708174.154
63,0.000,-32.715,-30.273,-1000.000,0.000,1731708174.157
64,0.000,-28.320,-34.180,-1000.000,0.000,1731708174.161
65,0.000,-34.668,-35.156,-1000.000,0.000,1731708174.164
66,0.000,-38.086,-35.156,-1000.000,0.000,1731708174.167
67,0.000,-32.227,-36.133,-1000.000,0.000,1731708174.171
68,0.000,-31.250,-33.691,-1000.000,0.000,1731708174.174
69,0.000,-28.320,-35.645,-1000.000,0.000,1731708174.178
70,0.000,-24.414,-34.668,-1000.000,0.000,1731708174.181
71,0.000,-24.414,-33.203,-1000.000,0.000,1731708174.184
72,-1000.000,-21.484,-27.832,-1000.000,0.000,1731708174.188
73,-1000.000,-20.020,-24.902,-1000.000,0.000,1731708174.191
74,-1000.000,-20.508,-26.367,-1000.000,0.000,1731708174.195
75,-1000.000,-19.531,-24.414,-1000.000,0.000,1731708174.198
76,-1000.000,-16.602,-24.902,-1000.000,0.000,1731708174.202
77,-1000.000,-12.207,-24.902,-1000.000,0.000,1731708174.205
78,-1000.000,-17.090,-24.414,-1000.000,0.000,1731708174.209
79,-1000.000,-25.879,-23.438,-1000.000,0.000,1731708174.212
80,-1000.000,-30.273,-26.367,-1000.000,0.000,1731708174.215
81,-1000.000,-38.574,-26.855,-1000.000,0.000,1731708174.219
82,-1000.000,-33.203,-21.484,-1000.000,0.000,1731708174.222
83,-1000.000,-18.555,-22.949,-1000.000,0.000,1731708174.226
84,-1000.000,-15.137,-16.602,-1000.000,0.000,1731708174.230
85,-1000.000,-20.020,-13.672,-1000.000,0.000,1731708174.233
86,-1000.000,-25.391,-17.090,-1000.000,0.000,1731708174.237
87,-1000.000,-28.320,-32.715,-1000.000,0.000,1731708174.240
88,-1000.000,-27.344,-28.809,-1000.000,0.000,1731708174.243
89,-1000.000,-23.926,-21.484,-1000.000,0.000,1731708174.247
90,-1000.000,-20.020,-29.785,-1000.000,0.000,1731708174.250
91,-1000.000,-22.949,-29.297,-1000.000,0.000,1731708174.254
92,-1000.000,-49.316,-17.578,-1000.000,0.000,1731708174.257
93,-1000.000,-68.848,-1.465,-1000.000,0.000,1731708174.261
94,-1000.000,-40.527,-1.465,-1000.000,0.000,1731708174.264
95,-1000.000,-39.062,-6.836,-1000.000,0.000,1731708174.267
96,-1000.000,-51.758,-3.906,-1000.000,0.000,1731708174.272
97,-1000.000,-43.457,-2.441,-1000.000,0.000,1731708174.275
98,-1000.000,-37.109,-4.395,-1000.000,0.000,1731708174.279
99,-1000.000,-34.668,-17.090,-1000.000,0.000,1731708174.282
100,-1000.000,-35.645,-21.973,-1000.000,0.000,1731708174.286
101,-1000.000,-35.645,-15.137,-1000.000,0.000,1731708174.289
102,-1000.000,-19.531,-8.789,-1000.000,0.000,1731708174.293
103,-1000.000,-17.578,-10.742,-1000.000,0.000,1731708174.296
104,-1000.000,-47.363,-20.020,-1000.000,0.000,1731708174.299
105,-1000.000,-45.898,-20.020,-1000.000,0.000,1731708174.303
106,-1000.000,-23.438,-18.066,-1000.000,0.000,1731708174.306
107,-1000.000,-25.879,-14.648,-1000.000,0.000,1731708174.310
108,-1000.000,-20.996,-13.672,-1000.000,0.000,1731708174.315
109,-1000.000,-23.926,-24.414,-1000.000,0.000,1731708174.318
110,-1000.000,-28.809,-24.902,-1000.000,0.000,1731708174.321
111,-1000.000,-28.809,-23.438,-1000.000,0.000,1731708174.325
112,-1000.000,-36.133,-25.879,-1000.000,0.000,1731708174.328
